Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58145670,Courage Is Calling: Fortune Favors the Brave (The Stoic Virtues Series),Ryan Holiday,"Holiday, Ryan",,"=""0593191676""","=""9780593191675""",0,4.05,Portfolio,Hardcover,278,2021,2021,,2023/07/12,to-read,to-read (#42),to-read,,,,0,0
43582733,Stillness Is the Key,Ryan Holiday,"Holiday, Ryan",,"=""0525538585""","=""9780525538585""",0,4.22,Portfolio,Hardcover,288,2019,2019,,2023/07/12,to-read,to-read (#41),to-read,,,,0,0
27036528,Ego Is the Enemy,Ryan Holiday,"Holiday, Ryan",,"=""1591847818""","=""9781591847816""",0,4.14,Portfolio,Hardcover,226,2016,2016,,2023/07/12,to-read,to-read (#40),to-read,,,,0,0
13099738,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Austin Kleon,"Kleon, Austin",,"=""0761169253""","=""9780761169253""",0,3.96,Workman Publishing Company,Paperback,160,2012,2012,,2023/07/12,,,read,,,,1,0
77160,"Across the Nightingale Floor (Tales of the Otori, #1)",Lian Hearn,"Hearn, Lian",,"=""1573223328""","=""9781573223324""",0,4.06,Riverhead Books,Paperback,305,2002,2002,,2023/07/12,to-read,to-read (#39),to-read,,,,0,0
867247,A Book of Five Rings: The Classic Guide to Strategy,Miyamoto Musashi,"Musashi, Miyamoto","Lew Hartman, Victor Harris","=""0517415283""","=""9780517415283""",0,3.98,Gramercy,Hardcover,192,1988,1645,,2023/07/12,to-read,to-read (#38),to-read,,,,0,0
4898,Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,W. Chan Kim,"Kim, W. Chan",Renée Mauborgne,"=""1591396190""","=""9781591396192""",0,4.01,Harvard Business Review Press,Hardcover,240,2005,2004,,2023/07/12,to-read,to-read (#37),to-read,,,,0,0
102030,Musashi,Eiji Yoshikawa,"Yoshikawa, Eiji","Charles S. Terry, Edwin O. Reischauer","=""4770019572""","=""9784770019578""",0,4.47,Kodansha International,Hardcover,970,1995,1935,,2023/07/12,to-read,to-read (#36),to-read,,,,0,0
18872437,The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime!,M.J. DeMarco,"DeMarco, M.J.",,"=""0984358102""","=""9780984358106""",0,4.32,Viperion Publishing Corp,Paperback,322,2011,2010,,2023/07/12,to-read,to-read (#35),to-read,,,,0,0
41721428,Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,"Goggins, David",,"=""1544512260""","=""""",0,4.36,Lioncrest Publishing,Kindle Edition,366,2018,2018,,2023/07/12,to-read,to-read (#34),to-read,,,,0,0
17354208,Relentless: From Good to Great to Unstoppable (Tim Grover Winning Series),Tim S. Grover,"Grover, Tim S.",Shari Lesser Wenk,"=""1476714207""","=""9781476714202""",0,3.96,Scribner,Paperback,233,2014,2013,,2023/07/12,to-read,to-read (#33),to-read,,,,0,0
18668059,The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,Ryan Holiday,"Holiday, Ryan",,"=""1591846358""","=""9781591846352""",0,4.15,Portfolio,Hardcover,201,2014,2014,,2023/07/12,to-read,to-read (#32),to-read,,,,0,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",0,4.33,Scholastic Press,Hardcover,374,2008,2008,,2023/07/12,to-read,to-read (#31),to-read,,,,0,0
10534,The Art of War,Sun Tzu,"Tzu, Sun",Thomas Cleary,"=""""","=""""",0,3.96,Harper Press,Paperback,273,2005,-400,,2023/07/12,to-read,to-read (#30),to-read,,,,0,0
242472,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas","Микола Климчук, David Chandler","=""""","=""""",0,3.96,Random House ,Hardcover,366,2007,2007,,2023/07/12,to-read,to-read (#29),to-read,,,,0,0
16144853,Leaders Eat Last: Why Some Teams Pull Together and Others Don't,Simon Sinek,"Sinek, Simon",,"=""1591845327""","=""9781591845324""",0,4.11,Portfolio,Hardcover,350,2014,2014,,2023/07/12,to-read,to-read (#28),to-read,,,,0,0
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",0,4.18,Grand Central Publishing,Hardcover,296,2016,2016,,2023/07/12,to-read,to-read (#27),to-read,,,,0,0
313605,Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,"Fisher, Roger","William Ury, Bruce Patton","=""0140157352""","=""9780140157352""",0,3.95,Penguin Group,Paperback,200,1992,1981,,2023/07/12,to-read,to-read (#26),to-read,,,,0,0
69571,"Rich Dad, Poor Dad",Robert T. Kiyosaki,"Kiyosaki, Robert T.",,"=""0751532711""","=""9780751532715""",0,4.12,Time Warner Books UK,Paperback,195,2001,1997,,2023/07/12,to-read,to-read (#25),to-read,,,,0,0
123857637,Never Split the Difference: Negotiating as if Your Life Depended on It,Chris Voss,"Voss, Chris",Tahl Raz,"=""1847941494""","=""9781847941497""",0,4.36,Random House Business,Paperback,288,2023,2016,,2023/07/12,to-read,to-read (#24),to-read,,,,0,0
52523856,Hell Yeah or No: What's Worth Doing,Derek Sivers,"Sivers, Derek",,"=""""","=""""",0,4.27,Hit Media,ebook,122,2020,2020,,2023/07/12,to-read,to-read (#23),to-read,,,,0,0
37880811,Make Time: How to Focus on What Matters Every Day,Jake Knapp,"Knapp, Jake",John Zeratsky,"=""0525572422""","=""9780525572428""",0,4.09,Crown Currency,Hardcover,287,2018,2018,,2023/07/12,to-read,to-read (#22),to-read,,,,0,0
30186948,Think and Grow Rich,Napoleon Hill,"Hill, Napoleon","Bill Hartley, Muhammad Ghous Siddiqui, Ben Holden-Crowther, Ann Hartley","=""""","=""""",0,4.18,,Paperback,233,2016,1937,,2023/07/12,to-read,to-read (#21),to-read,,,,0,0
25733994,"The Productivity Project: Accomplishing More by Managing Your Time, Attention, and Energy",Chris   Bailey,"Bailey, Chris",,"=""1101904038""","=""9781101904039""",0,3.95,Crown Business,Hardcover,304,2016,2016,,2023/07/12,to-read,to-read (#20),to-read,,,,0,0
12609433,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,"Duhigg, Charles",,"=""1400069289""","=""9781400069286""",0,4.13,Random House,Hardcover,375,2012,2012,,2023/07/12,to-read,to-read (#19),to-read,,,,0,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,4.18,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2023/07/12,to-read,to-read (#18),to-read,,,,0,0
7108725,Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,"Sinek, Simon",,"=""1591842808""","=""9781591842804""",0,4.10,Portfolio,Hardcover,256,2009,2009,,2023/07/12,to-read,to-read (#17),to-read,,,,0,0
106835,The Intelligent Investor,Benjamin Graham,"Graham, Benjamin","Jason Zweig, Warren Buffett","=""0060555661""","=""9780060555665""",0,4.25,Harper Business,Paperback,623,2006,1949,,2023/07/12,to-read,to-read (#16),to-read,,,,0,0
81948,The E-myth Revisited,Michael E. Gerber,"Gerber, Michael E.",,"=""0887307280""","=""9780887307287""",0,4.06,Harper Collins,Unknown Binding,269,1995,1985,,2023/07/12,to-read,to-read (#15),to-read,,,,0,0
28815,Influence: The Psychology of Persuasion,Robert B. Cialdini,"Cialdini, Robert B.",,"=""006124189X""","=""9780061241895""",0,4.21,Harper Business,Paperback,320,2006,1984,,2023/07/12,to-read,to-read (#14),to-read,,,,0,0
1633,Getting Things Done: The Art of Stress-Free Productivity,David    Allen,"Allen, David",,"=""0142000280""","=""9780142000281""",0,4.01,Penguin Books,Paperback,267,2002,2001,,2023/07/12,to-read,to-read (#13),to-read,,,,0,0
1052,The Richest Man in Babylon,George S. Clason,"Clason, George S.",,"=""0451205367""","=""9780451205360""",0,4.25,Berkley Books,Paperback,194,2002,1926,,2023/07/12,to-read,to-read (#12),to-read,,,,0,0
998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley,"Stanley, Thomas J.",William D. Danko,"=""0671015206""","=""9780671015206""",0,4.07,Gallery Books,Paperback,258,1998,1995,,2023/07/12,to-read,to-read (#11),to-read,,,,0,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",0,4.26,Ace,Hardcover,658,2019,1965,,2023/07/12,to-read,to-read (#10),to-read,,,,0,0
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",0,4.23,Crown Publishers,Hardcover,374,2011,2011,,2023/07/12,to-read,to-read (#9),to-read,,,,0,0
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316346624""","=""9780316346627""",0,4.00,Time Warner Book Group,Paperback,301,2002,2000,,2023/07/12,to-read,to-read (#8),to-read,,,,0,0
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Isle Lasch","=""080701429X""","=""9780807014295""",0,4.37,Beacon Press,Paperback,165,2006,1959,,2023/07/12,to-read,to-read (#7),to-read,,,,0,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""0735211302""","=""""",0,4.36,Avery,Kindle Edition,319,2018,2018,,2023/07/12,to-read,to-read (#6),to-read,,,,0,0
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""""","=""""",0,3.90,Harper,Paperback,212,2016,2016,,2023/07/12,to-read,to-read (#5),to-read,,,,0,0
76865,Good to Great: Why Some Companies Make the Leap... and Others Don't,James C. Collins,"Collins, James C.",Jim Collins,"=""0066620996""","=""9780066620992""",0,4.14,HarperBusiness,Hardcover,300,2001,2001,,2023/07/12,to-read,to-read (#3),to-read,,,,0,0
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",0,4.17,Crown Currency,Hardcover,195,2014,2014,,2023/07/12,to-read,to-read (#4),to-read,,,,0,0
30850861,The Happiness Equation: Want Nothing + Do Anything = Have Everything,Neil Pasricha,"Pasricha, Neil",,"=""0425277984""","=""9780425277980""",0,3.87,G.P. Putnam's Sons,Paperback,304,2016,2015,,2023/07/12,to-read,to-read (#2),to-read,,,,0,0
40591677,Keep Going: 10 Ways to Stay Creative in Good Times and Bad (Austin Kleon),Austin Kleon,"Kleon, Austin",,"=""1523506644""","=""9781523506644""",0,4.28,Workman Publishing Company,Paperback,224,2019,2019,,2023/07/12,to-read,to-read (#1),to-read,,,,0,0
